1;100000000;43.472358;3237.978112
2;100000000;21.308518;3237.990400
3;100000000;15.752816;3237.908480
4;100000000;8.811559;3238.043648
5;100000000;7.889650;3239.489536
6;100000000;8.328298;3253.911552
7;100000000;7.596318;3397.910528
8;100000000;4.885634;4837.916672
1;100000000;43.712001;3252.236288
2;100000000;21.270792;3252.064256
3;100000000;15.828573;3252.056064
4;100000000;8.951315;3252.232192
5;100000000;7.900493;3253.850112
6;100000000;8.328798;3268.079616
7;100000000;7.602433;3412.049920
8;100000000;4.900743;4852.273152
1;100000000;43.837092;3257.208832
2;100000000;21.265279;3257.278464
3;100000000;17.290436;3257.344000
4;100000000;8.868067;3257.462784
5;100000000;7.884003;3258.789888
6;100000000;8.311606;3273.289728
7;100000000;7.582627;3417.231360
8;100000000;4.863068;4857.290752
1;100000000;43.823800;3261.145088
2;100000000;21.284798;3261.145088
3;100000000;15.880250;3261.018112
4;100000000;8.857970;3261.300736
5;100000000;7.898171;3262.701568
6;100000000;8.334678;3277.135872
7;100000000;7.745948;3421.020160
8;100000000;4.855918;4861.366272
1;100000000;43.814425;3263.361024
2;100000000;21.205956;3263.434752
3;100000000;15.908864;3263.524864
4;100000000;8.880647;3263.578112
5;100000000;7.907025;3264.970752
6;100000000;8.321924;3279.450112
7;100000000;7.592902;3423.436800
8;100000000;4.841130;4863.430656
1;100000000;43.645029;3265.171456
2;100000000;21.293452;3265.290240
3;100000000;15.922183;3265.171456
4;100000000;9.036910;3265.347584
5;100000000;7.926993;3266.826240
6;100000000;8.314421;3281.195008
7;100000000;7.594493;3425.169408
8;100000000;4.933278;4865.290240
1;100000000;43.901569;3266.256896
2;100000000;21.297893;3266.281472
3;100000000;15.977827;3266.379776
4;100000000;8.899926;3266.482176
5;100000000;7.906552;3267.870720
6;100000000;8.313716;3282.329600
7;100000000;7.603265;3426.308096
8;100000000;4.908494;4866.322432
1;100000000;43.705797;3267.444736
2;100000000;21.278073;3267.579904
3;100000000;15.867952;3267.440640
4;100000000;8.888133;3267.670016
5;100000000;7.878800;3269.066752
6;100000000;8.321225;3283.517440
7;100000000;7.574950;3427.459072
8;100000000;4.847642;4867.588096
1;100000000;43.796176;3268.079616
2;100000000;21.274062;3268.083712
3;100000000;15.881161;3268.198400
4;100000000;8.884261;3268.239360
5;100000000;7.895873;3269.689344
6;100000000;8.321692;3284.082688
7;100000000;7.578698;3428.147200
8;100000000;4.838264;4868.096000
1;100000000;43.672553;3268.538368
2;100000000;21.253987;3268.608000
3;100000000;15.857968;3268.534272
4;100000000;9.265647;3268.722688
5;100000000;7.889200;3270.131712
6;100000000;8.305507;3284.566016
7;100000000;7.585301;3428.544512
8;100000000;4.844957;4868.608000
