1;1000000;0.080667
2;d;0.000000
3;1000000;0.152751
4;1000000;0.232245
1;1000000;0.066774
2;d;0.000000
3;1000000;0.149526
4;1000000;0.190558
1;1000000;0.069449
2;d;0.000000
3;1000000;0.149757
4;1000000;0.199411
1;1000000;0.069749
2;d;0.000000
3;1000000;0.150845
4;1000000;0.193974
1;1000000;0.069786
2;d;0.000000
3;1000000;0.149703
4;1000000;0.202787
1;1000000;0.073156
2;d;0.000000
3;1000000;0.152177
4;1000000;0.227134
1;1000000;0.073817
2;d;0.000000
3;1000000;0.151009
4;1000000;0.202205
1;1000000;0.067644
2;d;0.000000
3;1000000;0.148967
4;1000000;0.199429
1;1000000;0.067353
2;d;0.000000
3;1000000;0.149492
4;1000000;0.195963
1;1000000;0.068859
2;d;0.000000
3;1000000;0.149086
4;1000000;0.195669
