1;20;4.338583
2;20;7.024347
3;20;6.323557
4;20;16.816367
1;20;4.332395
2;20;7.023605
3;20;6.357916
4;20;16.817736
1;20;4.347581
2;20;7.103755
3;20;6.356638
4;20;16.842355
1;20;4.386318
2;20;7.010540
3;20;6.346875
4;20;16.914190
1;20;4.381590
2;20;7.014829
3;20;6.482254
4;20;16.912708
1;20;4.370972
2;20;7.079099
3;20;6.347702
4;20;16.964974
1;20;4.451362
2;20;6.921965
3;20;6.483098
4;20;16.791691
1;20;4.451696
2;20;6.936033
3;20;6.454264
4;20;16.843751
1;20;4.392873
2;20;6.924881
3;20;6.475170
4;20;16.812891
1;20;4.422157
2;20;6.926035
3;20;6.474466
4;20;16.781297
