1;10000000;0.739710
2;d;0.000000
3;10000000;1.662030
4;10000000;3.552853
1;10000000;0.754109
2;d;0.000000
3;10000000;1.668212
4;10000000;3.558500
1;10000000;0.752828
2;d;0.000000
3;10000000;1.662225
4;10000000;3.565840
1;10000000;0.740374
2;d;0.000000
3;10000000;1.661719
4;10000000;3.556299
1;10000000;0.740685
2;d;0.000000
3;10000000;1.665814
4;10000000;3.606577
1;10000000;0.741293
2;d;0.000000
3;10000000;1.663758
4;10000000;3.552181
1;10000000;0.766397
2;d;0.000000
3;10000000;1.659484
4;10000000;3.583883
1;10000000;0.739163
2;d;0.000000
3;10000000;1.664441
4;10000000;3.572570
1;10000000;0.745646
2;d;0.000000
3;10000000;1.656106
4;10000000;3.561802
1;10000000;0.744691
2;d;0.000000
3;10000000;1.662959
4;10000000;3.574223
