1;7;1.359175
2;d;0.000000
3;7;2.036180
4;7;3.282650
1;7;1.354776
2;d;0.000000
3;7;2.039388
4;7;3.287145
1;7;1.364622
2;d;0.000000
3;7;2.037429
4;7;3.277917
1;7;1.573798
2;d;0.000000
3;7;2.324652
4;7;3.938435
1;7;1.443460
2;d;0.000000
3;7;2.260396
4;7;3.581958
1;7;1.370116
2;d;0.000000
3;7;2.058776
4;7;3.315016
1;7;1.372194
2;d;0.000000
3;7;2.048805
4;7;3.319622
1;7;1.364301
2;d;0.000000
3;7;2.049042
4;7;3.280217
1;7;1.361143
2;d;0.000000
3;7;2.039702
4;7;3.285266
1;7;1.369418
2;d;0.000000
3;7;2.057979
4;7;3.285160
1;7;1.387012
2;d;0.000000
3;7;2.063865
4;7;3.320282
